DULICA;ULICA;PSC;DPOSTA;POSTA;POZNAMKA;OBCE
Pod hrebienkom;Pod hrebienkom;040 01;Košice 1;Košice 1;;Košice
Pod kaštieľom;Pod kaštieľom;040 01;Košice 1;Košice 1;;Košice
Pod Stavencom;Pod Stavencom;040 15;Košice 15;Košice 15;;Košice
Pod šiancom;Pod šiancom;040 01;Košice 1;Košice 1;;Košice
Pod vinicami;Pod vinicami;040 01;Košice 1;Košice 1;;Košice
Pod Vitalinou;Pod Vitalinou;040 01;Košice 1;Košice 1;;Košice
Pod vlekom;Pod vlekom;040 01;Košice 1;Košice 1;;Košice
Podbeľová;Podbeľová;040 17;Košice 17;Košice 17;;Košice
Podjavorinskej;Podjavorinskej;040 11;Košice 11;Košice 11;;Košice
Podkamenná;Podkamenná;040 01;Košice 1;Košice 1;;Košice
Podnikateľská;Podnikateľská;040 17;Košice 17;Košice 17;;Košice
Podtatranského;Podtatranského;040 01;Košice 1;Košice 1;;Košice
Pokojná;Pokojná;040 17;Košice 17;Košice 17;;Košice
Pokroku;Pokroku;040 11;Košice 11;Košice 11;;Košice
Polárna;Polárna;040 12;Košice 12;Košice 12;;Košice
Polesná;Polesná;040 18;Košice 18;Košice 18;;Košice
Polianska;Polianska;040 01;Košice 1;Košice 1;;Košice
Pollova;Pollova;040 18;Košice 18;Košice 18;;Košice
Poľná;Poľná;040 14;Košice 14;Košice 14;;Košice
Poloninská;Poloninská;040 11;Košice 11;Košice 11;;Košice
Poľovnícka;Poľovnícka;040 11;Košice 11;Košice 11;č. 4, 6, 8, 10;Košice
Poľovnícka;Poľovnícka;040 18;Košice 18;Košice 18;č. 101, 103-110, 115;Košice
Poľovská;Poľovská;040 15;Košice 15;Košice 15;;Košice
Poľská;Poľská;040 01;Košice 1;Košice 1;;Košice
Poludníková;Poludníková;040 12;Košice 12;Košice 12;;Košice
Poničanova;Poničanova;040 17;Košice 17;Košice 17;;Košice
Popradská;Popradská;040 01;Košice 1;Košice 1;;Košice
Postupimská;Postupimská;040 22;Košice 22;Košice 22;;Košice
Poštová;Poštová;040 01;Košice 1;Košice 1;;Košice
Potočná;Potočná;040 01;Košice 1;Košice 1;;Košice
Považská;Považská;040 11;Košice 11;Košice 11;;Košice
Povrazová;Povrazová;040 16;Košice 16;Košice 16;;Košice
Povstania českého ľudu;Povstania českého ľudu;040 22;Košice 22;Košice 22;;Košice
Požiarnická;Požiarnická;040 01;Košice 1;Košice 1;;Košice
Prasličková;Prasličková;040 17;Košice 17;Košice 17;;Košice
Prašná;Prašná;040 18;Košice 18;Košice 18;;Košice
Pražská;Pražská;040 11;Košice 11;Košice 11;;Košice
Prešovská cesta;Prešovská cesta;040 01;Košice 1;Košice 1;;Košice
Pri bitúnku;Pri bitúnku;040 01;Košice 1;Košice 1;;Košice
Pri hati;Pri hati;040 01;Košice 1;Košice 1;;Košice
Pri Hornáde;Pri Hornáde;040 18;Košice 18;Košice 18;;Košice
Pri Hrušove;Pri Hrušove;040 13;Košice 13;Košice 13;;Košice
Pri jazdiarni;Pri jazdiarni;040 01;Košice 1;Košice 1;;Košice
Pri Krásnej;Pri Krásnej;040 12;Košice 12;Košice 12;;Košice
Pri Miklušovej väznici;Pri Miklušovej väznici;040 01;Košice 1;Košice 1;;Košice
Pri nemocnici;Pri nemocnici;040 01;Košice 1;Košice 1;;Košice
Pri plynárni;Pri plynárni;040 01;Košice 1;Košice 1;;Košice
Pri Pošte;Pri pošte;040 17;Košice 17;Košice 17;;Košice
Pri prachárni;Pri prachárni;040 11;Košice 11;Košice 11;;Košice
Pri Salaši;Pri salaši;040 17;Košice 17;Košice 17;;Košice
Pri sídlisku;Pri sídlisku;040 18;Košice 18;Košice 18;;Košice
Pri studničke;Pri studničke;040 18;Košice 18;Košice 18;;Košice
Pri Teleku;Pri Teleku;040 18;Košice 18;Košice 18;;Košice
Pri Vagovni;Pri vagovni;040 17;Košice 17;Košice 17;;Košice
Pri Železničnej stanici;Pri železničnej stanici;040 17;Košice 17;Košice 17;;Košice
Pribinova;Pribinova;040 01;Košice 1;Košice 1;;Košice
Priemyselná;Priemyselná;040 01;Košice 1;Košice 1;;Košice
Prievidzská;Prievidzská;040 11;Košice 11;Košice 11;;Košice
Príkra;Príkra;040 01;Košice 1;Košice 1;;Košice
Protifašistických bojovníkov;Protifašistických bojovníkov;040 01;Košice 1;Košice 1;;Košice
Prúdová;Prúdová;040 01;Košice 1;Košice 1;;Košice
Prvosienková;Prvosienková;040 01;Košice 1;Košice 1;;Košice
Pšeničná;Pšeničná;040 01;Košice 1;Košice 1;;Košice
Púchovská;Púchovská;040 11;Košice 11;Košice 11;;Košice
Púpavová;Púpavová;040 01;Košice 1;Košice 1;;Košice
Puškinova;Puškinova;040 01;Košice 1;Košice 1;;Košice
Pytliacka;Pytliacka;040 11;Košice 11;Košice 11;;Košice
Račí potok;Račí potok;040 01;Košice 1;Košice 1;;Košice
Račianska;Račianska;040 18;Košice 18;Košice 18;;Košice
Radlinského;Radlinského;040 17;Košice 17;Košice 17;;Košice
Raketová;Raketová;040 12;Košice 12;Košice 12;;Košice
Rampová;Rampová;040 01;Košice 1;Košice 1;;Košice
Ranná;Ranná;040 15;Košice 15;Košice 15;;Košice
Rastislavova;Rastislavova;040 01;Košice 1;Košice 1;;Košice
Rázusova;Rázusova;040 01;Košice 1;Košice 1;;Košice
Ražná;Ražná;040 01;Košice 1;Košice 1;;Košice
Rehoľná;Rehoľná;040 18;Košice 18;Košice 18;;Košice
Repíková;Repíková;040 17;Košice 17;Košice 17;;Košice
Repná;Repná;040 13;Košice 13;Košice 13;;Košice
Rešov majer;Rešov majer;040 18;Košice 18;Košice 18;;Košice
Revúcka;Revúcka;040 11;Košice 11;Košice 11;;Košice
Rímska;Rímska;040 01;Košice 1;Košice 1;;Košice
Riznerova;Riznerova;040 01;Košice 1;Košice 1;;Košice
Robotnícka;Robotnícka;040 11;Košice 11;Košice 11;;Košice
Rokycká;Rokycká;040 01;Košice 1;Košice 1;;Košice
Roľnícka;Roľnícka;040 01;Košice 1;Košice 1;;Košice
Rooseveltova;Rooseveltova;040 01;Košice 1;Košice 1;;Košice
Rosná;Rosná;040 01;Košice 1;Košice 1;;Košice
Rovníková;Rovníková;040 12;Košice 12;Košice 12;;Košice
Rozálska;Rozálska;040 01;Košice 1;Košice 1;;Košice
Rozmarínová;Rozmarínová;040 17;Košice 17;Košice 17;;Košice
Rozvojová;Rozvojová;040 11;Košice 11;Košice 11;;Košice
Rožňavská;Rožňavská;040 11;Košice 11;Košice 11;;Košice
Rubínová;Rubínová;040 11;Košice 11;Košice 11;;Košice
Rulandská;Rulandská;040 18;Košice 18;Košice 18;;Košice
Rumanova;Rumanova;040 01;Košice 1;Košice 1;;Košice
Rumunská;Rumunská;040 01;Košice 1;Košice 1;;Košice
Rusnákova;Rusnákova;040 17;Košice 17;Košice 17;;Košice
Ružínska;Ružínska;040 11;Košice 11;Košice 11;;Košice
Ružomberská;Ružomberská;040 11;Košice 11;Košice 11;;Košice
Ružová;Ružová;040 11;Košice 11;Košice 11;;Košice
Sabinovská;Sabinovská;040 11;Košice 11;Košice 11;;Košice
Sadovnícka;Sadovnícka;040 15;Košice 15;Košice 15;;Košice
Sečovská;Sečovská;040 01;Košice 1;Košice 1;;Košice
Sečovská cesta;Sečovská cesta;040 22;Košice 22;Košice 22;;Košice
Senný trh;Senný trh;040 01;Košice 1;Košice 1;;Košice
Severné nábrežie;Severné nábrežie;040 01;Košice 1;Košice 1;;Košice
Skalická;Skalická;040 18;Košice 18;Košice 18;;Košice
Skalná;Skalná;040 01;Košice 1;Košice 1;;Košice
Skautská;Skautská;040 01;Košice 1;Košice 1;;Košice
Skladná;Skladná;040 01;Košice 1;Košice 1;;Košice
Sklepárska;Sklepárska;040 15;Košice 15;Košice 15;;Košice
Sládkovičova;Sládkovičova;040 01;Košice 1;Košice 1;;Košice
Slanecká;Slanecká;040 12;Košice 12;Košice 12;;Košice
Slávičia;Slávičia;040 01;Košice 1;Košice 1;;Košice
Slavkovská;Slavkovská;040 01;Košice 1;Košice 1;;Košice
Sliačska;Sliačska;040 11;Košice 11;Košice 11;;Košice
Slivník;Slivník;040 01;Košice 1;Košice 1;;Košice
Slnečná;Slnečná;040 01;Košice 1;Košice 1;;Košice
Slovenská;Slovenská;040 01;Košice 1;Košice 1;;Košice
Slovenského;Slovenského;040 01;Košice 1;Košice 1;;Košice
Slovenskej jednoty;Slovenskej jednoty;040 01;Košice 1;Košice 1;;Košice
Sluková;Sluková;040 11;Košice 11;Košice 11;;Košice
Smaragdová;Smaragdová;040 11;Košice 11;Košice 11;;Košice
Smetanova;Smetanova;040 01;Košice 1;Košice 1;;Košice
Smreková;Smreková;040 15;Košice 15;Košice 15;;Košice
Smutná;Smutná;040 18;Košice 18;Košice 18;;Košice
Snežienková;Snežienková;040 01;Košice 1;Košice 1;;Košice
Sofijská;Sofijská;040 13;Košice 13;Košice 13;;Košice
Sokolovská;Sokolovská;040 11;Košice 11;Košice 11;;Košice
Solisková;Solisková;040 01;Košice 1;Košice 1;;Košice
Spišské námestie;Spišské námestie;040 12;Košice 12;Košice 12;;Košice
Sputniková;Sputniková;040 12;Košice 12;Košice 12;;Košice
Srbská;Srbská;040 01;Košice 1;Košice 1;;Košice
Srnčia;Srnčia;040 01;Košice 1;Košice 1;;Košice
Stálicová;Stálicová;040 12;Košice 12;Košice 12;;Košice
Staničná;Staničná;040 01;Košice 1;Košice 1;;Košice
Staničné námestie;Staničné námestie;040 01;Košice 1;Košice 1;;Košice
Stará baštová;Stará baštová;040 01;Košice 1;Košice 1;;Košice
Stará pracháreň;Stará pracháreň;040 01;Košice 1;Košice 1;;Košice
Stará prešovská;Stará prešovská;040 01;Košice 1;Košice 1;;Košice
Stará spišská cesta;Stará spišská cesta;040 01;Košice 1;Košice 1;;Košice
Staroslovanská;Staroslovanská;040 18;Košice 18;Košice 18;;Košice
Starozagorská;Starozagorská;040 23;Košice 23;Košice 23;;Košice
Stierova;Stierova;040 23;Košice 23;Košice 23;;Košice
Stodolova;Stodolova;040 11;Košice 11;Košice 11;;Košice
Stokrásková;Stokrásková;040 11;Košice 11;Košice 11;;Košice
Strakova;Strakova;040 01;Košice 1;Košice 1;;Košice
Strážna;Strážna;040 01;Košice 1;Košice 1;;Košice
Strážovská;Strážovská;040 11;Košice 11;Košice 11;;Košice
Strieborná;Strieborná;040 17;Košice 17;Košice 17;;Košice
Strmá;Strmá;040 01;Košice 1;Košice 1;;Košice
Strojárenská;Strojárenská;040 01;Košice 1;Košice 1;;Košice
Stromová;Stromová;040 01;Košice 1;Košice 1;;Košice
Stropkovská;Stropkovská;040 11;Košice 11;Košice 11;;Košice
Suchodolinská;Suchodolinská;040 01;Košice 1;Košice 1;;Košice
Súľovská;Súľovská;040 11;Košice 11;Košice 11;;Košice
Sv. Gorazda;Sv. Gorazda;040 18;Košice 18;Košice 18;;Košice
Sv. Ladislava;Sv. Ladislava;040 14;Košice 14;Košice 14;;Košice
Sv. rodiny;Sv. rodiny;040 22;Košice 22;Košice 22;;Košice
Svätoplukova;Svätoplukova;040 01;Košice 1;Košice 1;;Košice
Svätovavrinecká;Svätovavrinecká;040 18;Košice 18;Košice 18;;Košice
Svetlá;Svetlá;040 17;Košice 17;Košice 17;;Košice
Svetlá pusta;Svetlá pusta;040 17;Košice 17;Košice 17;;Košice
Svidnícka;Svidnícka;040 11;Košice 11;Košice 11;;Košice
Szakkayho;Szakkayho;040 01;Košice 1;Košice 1;;Košice
Szukova;Szukova;040 11;Košice 11;Košice 11;;Košice
Šafárikova trieda;Šafárikova trieda;040 11;Košice 11;Košice 11;;Košice
Šafránová;Šafránová;040 01;Košice 1;Košice 1;;Košice
Šalviová;Šalviová;040 17;Košice 17;Košice 17;;Košice
Šamborská;Šamborská;040 01;Košice 1;Košice 1;;Košice
Šarišská;Šarišská;040 01;Košice 1;Košice 1;;Košice
Šebastovská;Šebastovská;040 17;Košice 17;Košice 17;;Košice
Šemšianska;Šemšianska;040 15;Košice 15;Košice 15;;Košice
Šípková;Šípková;040 01;Košice 1;Košice 1;;Košice
Široká;Široká;040 01;Košice 1;Košice 1;;Košice
Školská;Školská;040 11;Košice 11;Košice 11;;Košice
Škovránčia;Škovránčia;040 01;Košice 1;Košice 1;;Košice
Škultétyho;Škultétyho;040 01;Košice 1;Košice 1;;Košice
Šoltésovej;Šoltésovej;040 01;Košice 1;Košice 1;;Košice
Športová;Športová;040 01;Košice 1;Košice 1;;Košice
Šrobárova;Šrobárova;040 01;Košice 1;Košice 1;;Košice
Štefánikova;Štefánikova;040 01;Košice 1;Košice 1;;Košice
Štiavnická;Štiavnická;040 11;Košice 11;Košice 11;;Košice
Štítová;Štítová;040 01;Košice 1;Košice 1;;Košice
Štrbská;Štrbská;040 01;Košice 1;Košice 1;;Košice
Štrková;Štrková;040 18;Košice 18;Košice 18;;Košice
Študentská;Študentská;040 01;Košice 1;Košice 1;;Košice
Štúrova;Štúrova;040 01;Košice 1;Košice 1;;Košice
Šuhajova;Šuhajova;040 18;Košice 18;Košice 18;;Košice
Táborská;Táborská;040 01;Košice 1;Košice 1;;Košice
Ťahanovská;Ťahanovská;040 13;Košice 13;Košice 13;;Košice
Ťahanovské riadky;Ťahanovské riadky;040 01;Košice 1;Košice 1;;Košice
Tajovského;Tajovského;040 01;Košice 1;Košice 1;;Košice
Talinská;Talinská;040 12;Košice 12;Košice 12;;Košice
Tatarkova;Tatarkova;040 18;Košice 18;Košice 18;;Košice
Tatranská;Tatranská;040 01;Košice 1;Košice 1;;Košice
Teplárenská;Teplárenská;040 12;Košice 12;Košice 12;;Košice
Teplého;Teplého;040 17;Košice 17;Košice 17;;Košice
Terchovská;Terchovská;040 01;Košice 1;Košice 1;;Košice
Teslova;Teslova;040 12;Košice 12;Košice 12;;Košice
Tešedíkova;Tešedíkova;040 17;Košice 17;Košice 17;;Košice
Textilná;Textilná;040 12;Košice 12;Košice 12;;Košice
Thurzova;Thurzova;040 01;Košice 1;Košice 1;;Košice
Tibavská;Tibavská;040 18;Košice 18;Košice 18;;Košice
Tigria;Tigria;040 01;Košice 1;Košice 1;;Košice
Tichá;Tichá;040 01;Košice 1;Košice 1;;Košice
Timonova;Timonova;040 01;Košice 1;Košice 1;;Košice
Timravy;Timravy;040 17;Košice 17;Košice 17;;Košice
Titánová;Titánová;040 17;Košice 17;Košice 17;;Košice
Titogradská;Titogradská;040 23;Košice 23;Košice 23;;Košice
Tokajícka;Tokajícka;040 22;Košice 22;Košice 22;;Košice
Tokajská;Tokajská;040 18;Košice 18;Košice 18;;Košice
Tolstého;Tolstého;040 01;Košice 1;Košice 1;;Košice
Tomášikova;Tomášikova;040 01;Košice 1;Košice 1;;Košice
Topasová;Topasová;040 11;Košice 11;Košice 11;;Košice
Topoľčianska;Topoľčianska;040 11;Košice 11;Košice 11;;Košice
Topoľová;Topoľová;040 01;Košice 1;Košice 1;;Košice
Toryská;Toryská;040 11;Košice 11;Košice 11;"č. 1,3,4,5,6; pár. č. 8-16";Košice
Toryská;Toryská;040 18;Košice 18;Košice 18;č. 27,152;Košice
Továrenská;Továrenská;040 01;Košice 1;Košice 1;;Košice
Tramínová;Tramínová;040 18;Košice 18;Košice 18;č. 1-30;Košice
Tranovského;Tranovského;040 01;Košice 1;Košice 1;;Košice
Traťová;Traťová;040 18;Košice 18;Košice 18;;Košice
Trebišovská;Trebišovská;040 11;Košice 11;Košice 11;;Košice
Trenčianska;Trenčianska;040 01;Košice 1;Košice 1;;Košice
Tri hôrky;Tri hôrky;040 11;Košice 11;Košice 11;;Košice
Trieda arm. gen. Svobodu;Trieda arm. gen. Svobodu;040 22;Košice 22;Košice 22;;Košice
Trieda KVP;Trieda KVP;040 23;Košice 23;Košice 23;;Košice
Trieda SNP;Trieda SNP;040 11;Košice 11;Košice 11;;Košice
Trnavská;Trnavská;040 11;Košice 11;Košice 11;;Košice
Trnková;Trnková;040 14;Košice 14;Košice 14;;Košice
Tŕňová;Tŕňová;040 01;Košice 1;Košice 1;;Košice
Trolejbusová;Trolejbusová;040 01;Košice 1;Košice 1;;Košice
Turgenevova;Turgenevova;040 01;Košice 1;Košice 1;;Košice
Turistická;Turistická;040 01;Košice 1;Košice 1;;Košice
Turnianska;Turnianska;040 17;Košice 17;Košice 17;;Košice
Tvrdošínska;Tvrdošínska;040 11;Košice 11;Košice 11;;Košice
Tyršovo nábrežie;Tyršovo nábrežie;040 01;Košice 1;Košice 1;;Košice
Učňovská;Učňovská;040 15;Košice 15;Košice 15;;Košice
Uherova;Uherova;040 11;Košice 11;Košice 11;;Košice
Ukrajinská;Ukrajinská;040 18;Košice 18;Košice 18;;Košice
Ulica Alexandra Dubčeka;Ulica Alexandra Dubčeka;040 18;Košice 18;Košice 18;;Košice
Ulica na Grunte;Ulica na Grunte;040 23;Košice 23;Košice 23;;Košice
Ulica nad Bangortami;Ulica nad Bangortami;040 23;Košice 23;Košice 23;;Košice
Ulica osloboditeľov;Ulica osloboditeľov;040 17;Košice 17;Košice 17;;Košice
Ulica pri plavárni;Ulica pri plavárni;040 01;Košice 1;Košice 1;;Košice
Ulica slobody;Ulica slobody;040 11;Košice 11;Košice 11;;Košice
Ulica svornosti;Ulica svornosti;040 01;Košice 1;Košice 1;;Košice
Ulica Zelená stráň;Ulica Zelená stráň;040 14;Košice 14;Košice 14;;Košice
Ungárova;Ungárova;040 11;Košice 11;Košice 11;;Košice
Univerzitná;Univerzitná;040 01;Košice 1;Košice 1;;Košice
Uralská;Uralská;040 12;Košice 12;Košice 12;;Košice
Urbánkova;Urbánkova;040 01;Košice 1;Košice 1;;Košice
Urbárska;Urbárska;040 18;Košice 18;Košice 18;;Košice
Uršulínska;Uršulínska;040 01;Košice 1;Košice 1;;Košice
Úzka;Úzka;040 01;Košice 1;Košice 1;;Košice
Užhorodská;Užhorodská;040 11;Košice 11;Košice 11;;Košice
V úvoze;V úvoze;040 01;Košice 1;Košice 1;;Košice
Vajanského;Vajanského;040 01;Košice 1;Košice 1;;Košice
Varšavská;Varšavská;040 13;Košice 13;Košice 13;;Košice
Važecká;Važecká;040 12;Košice 12;Košice 12;;Košice
Včelárska paseka;Včelárska paseka;040 01;Košice 1;Košice 1;;Košice
Vencová;Vencová;040 01;Košice 1;Košice 1;;Košice
Veterná;Veterná;040 01;Košice 1;Košice 1;;Košice
Viedenská;Viedenská;040 13;Košice 13;Košice 13;;Košice
Vihorlatská;Vihorlatská;040 01;Košice 1;Košice 1;;Košice
Viničná;Viničná;040 01;Košice 1;Košice 1;;Košice
Vínna;Vínna;040 18;Košice 18;Košice 18;;Košice
Vínová;Vínová;040 14;Košice 14;Košice 14;;Košice
Višňová;Višňová;040 01;Košice 1;Košice 1;;Košice
Vnútorný červený breh;Vnútorný červený breh;040 01;Košice 1;Košice 1;;Košice
Vo výmoli;Vo výmoli;040 01;Košice 1;Košice 1;;Košice
Vodárenská;Vodárenská;040 01;Košice 1;Košice 1;;Košice
Vodná;Vodná;040 01;Košice 1;Košice 1;;Košice
Vojenská;Vojenská;040 01;Košice 1;Košice 1;;Košice
Vojvodská;Vojvodská;040 01;Košice 1;Košice 1;;Košice
Vonkajší červený breh;Vonkajší červený breh;040 01;Košice 1;Košice 1;;Košice
Vozárova;Vozárova;040 17;Košice 17;Košice 17;;Košice
Vrabčia;Vrabčia;040 01;Košice 1;Košice 1;;Košice
Vranovská;Vranovská;040 11;Košice 11;Košice 11;;Košice
Vrátna;Vrátna;040 01;Košice 1;Košice 1;;Košice
Vŕbová;Vŕbová;040 01;Košice 1;Košice 1;;Košice
Vrchná;Vrchná;040 16;Košice 16;Košice 16;;Košice
Výhoňska;Vyhoňská;040 01;Košice 1;Košice 1;;Košice
Východná;Východná;040 18;Košice 18;Košice 18;č. 1-50;Košice
Vysokoškolská;Vysokoškolská;040 01;Košice 1;Košice 1;;Košice
Výstavby;Výstavby;040 11;Košice 11;Košice 11;;Košice
Vyšná;Vyšná;040 01;Košice 1;Košice 1;;Košice
Vyšná úvrať;Vyšná úvrať;040 01;Košice 1;Košice 1;pár.č.14-28;Košice
Vyšná úvrať;Vyšná úvrať;040 14;Košice 14;Košice 14;1,2,4,5,6,8,10,11,13,15,17,19,21;Košice
Vyšné Opátske;Vyšné Opátske;040 01;Košice 1;Košice 1;;Košice
Vyšný dvor;Vyšný dvor;040 18;Košice 18;Košice 18;;Košice
Watsonova;Watsonova;040 01;Košice 1;Košice 1;;Košice
Werferova;Werferova;040 11;Košice 11;Košice 11;;Košice
Wuppertálska;Wuppertálska;040 23;Košice 23;Košice 23;;Košice
Wurmova;Wurmova;040 23;Košice 23;Košice 23;;Košice
Za amfiteátrom;Za amfiteátrom;040 01;Košice 1;Košice 1;;Košice
Za dolným mlynom;Za dolným mlynom;040 16;Košice 16;Košice 16;;Košice
Za kostolom;Za kostolom;040 18;Košice 18;Košice 18;;Košice
Za mostom;Za mostom;040 18;Košice 18;Košice 18;;Košice
Za priekopou;Za priekopou;040 16;Košice 16;Košice 16;;Košice
Za školou;Za školou;040 17;Košice 17;Košice 17;;Košice
Za štadiónom;Za štadiónom;040 01;Košice 1;Košice 1;;Košice
Záborského;Záborského;040 01;Košice 1;Košice 1;;Košice
Zádielska;Zádielska;040 01;Košice 1;Košice 1;;Košice
Záhradkárska;Záhradkárska;040 18;Košice 18;Košice 18;;Košice
Záhradná;Záhradná;040 01;Košice 1;Košice 1;;Košice
Záhumnie;Záhumnie;040 18;Košice 18;Košice 18;;Košice
Zajačia;Zajačia;040 01;Košice 1;Košice 1;;Košice
Zámočnícka;Zámočnícka;040 01;Košice 1;Košice 1;;Košice
Zborovjanova;Zborovjanova;040 17;Košice 17;Košice 17;;Košice
Zborovská;Zborovská;040 01;Košice 1;Košice 1;;Košice
Zbrojničná;Zbrojničná;040 01;Košice 1;Košice 1;;Košice
Zelená;Zelená;040 18;Košice 18;Košice 18;;Košice
Zeleninárska;Zeleninárska;040 12;Košice 12;Košice 12;;Košice
Zelený Dvor;Zelený Dvor;040 01;Košice 1;Košice 1;;Košice
Zemianska;Zemianska;040 17;Košice 17;Košice 17;;Košice
Zemplínska;Zemplínska;040 01;Košice 1;Košice 1;;Košice
